OBJECTID,BLD_ID,DEV_ID,DEV_NAME,NGHDNUM,POLICEDIVI,BLDG_POSTC,TOTAL_RESU,MRKT_UNIT,RGI_UNIT,YEAR_BUILT,BUILDING,BUILDFORM,FLR_ABV_GR,BLD_DESC,X,Y,LONGITUDE,LATITUDE
1730,90086,178,Empringham Mews,132,42,M1B 3Z2,6,1,5,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,328043.92,4852263.709,-79.210888,43.8119823
1731,90087,178,Empringham Mews,132,42,M1B 3Z2,7,0,7,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,328043.92,4852263.709,-79.210888,43.8119823
286,4274,200,Lawrence Heights,31,32,M6A 2P2,8,0,8,1957,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,309007.539,4842088.358,-79.447588,43.7207432
1458,3647,40,DeMarco Boulevard,28,31,M6L 2W1,15,0,15,1955,Towns & Wkups,Walkup Apartment Building,3,3 - Storey Low Rise Apt Bldg.,305532.884,4840483.972,-79.490713,43.7063126
1459,3648,40,DeMarco Boulevard,28,31,M6L 1C1,20,0,20,1955,Towns & Wkups,Walkup Apartment Building,3,3 - Storey Low Rise Apt Bldg.,305645.08,4840499.317,-79.489321,43.7064506
1460,3649,40,DeMarco Boulevard,28,31,M6L 1C1,20,0,20,1955,Towns & Wkups,Walkup Apartment Building,3,3 - Storey Low Rise Apt Bldg.,305599.298,4840487.469,-79.489889,43.706344
553,5444,205,Scarlett Manor,8,23,M9P 3V3,128,59,69,1994,High Rise,High Rise Apt. Bldg.Elevator,11,11 - Storey High Rise Apt. Bldg.,302744.324,4839858.199,-79.525311,43.7006762
559,4370,206,Scarlettwood,8,23,M9P 1T2,6,0,6,1963,Towns & Wkups,Townhouse Sixplex,2,2 - Storey Townhouse,303385.856,4838998.466,-79.517346,43.6929307
560,4371,206,Scarlettwood,8,23,M9P 1T2,6,0,6,1963,Towns & Wkups,Townhouse Sixplex,2,2 - Storey Townhouse,303389.702,4839052.125,-79.517299,43.6934137
563,4374,206,Scarlettwood,8,23,M9P 1T1,6,0,6,1963,Towns & Wkups,Townhouse Sixplex,2,2 - Storey Townhouse,303521.596,4839128.818,-79.515663,43.6941044
564,4375,206,Scarlettwood,8,23,M9P 1T2,9,0,9,1963,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,303443.087,4839026.211,-79.516636,43.6931806
566,4377,206,Scarlettwood,8,23,M9P 1T1,14,0,14,1963,Towns & Wkups,Walkup Apartment Building,3,3 - Storey Walkup Apartment Building,303494.335,4839036.572,-79.516001,43.693274
568,4369,206,Scarlettwood,8,23,M9P 2P9,6,0,6,1963,Towns & Wkups,Townhouse Sixplex,2,2 - Storey Townhouse,303344.728,4839061.204,-79.517857,43.6934953
569,4378,206,Scarlettwood,8,23,M9P 2R1,48,0,48,1963,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,303422.728,4839110.343,-79.516889,43.6939378
210,5623,106,Westacres Extension,4,23,M9W 4C6,16,1,15,1960,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Walk-Up Apt. Bldg.,299216.106,4842546.125,-79.569114,43.7248537
211,5624,106,Westacres Extension,4,23,M9W 4C5,16,1,15,1960,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Walk-Up Apt. Bldg.,299131.867,4842570.58,-79.57016,43.7250732
212,5625,106,Westacres Extension,4,23,M9W 4C5,16,1,15,1960,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Walk-Up Apt. Bldg.,299143.28,4842533.625,-79.570018,43.7247406
30,3888,47,Albion Shendale,5,23,M9W 3P1,16,0,16,1962,Towns & Wkups,Townhouse Centre Hall Mulrifam.,2,2 - Storey Townhouse Centre Hall,300989.889,4842185.381,-79.547092,43.7216091
31,3889,47,Albion Shendale,5,23,M9W 2B1,18,0,18,1962,Towns & Wkups,Townhouse Centre Hall Mulrifam.,2,2 - Storey Townhouse Centre Hall,300943.634,4842241.505,-79.54767,43.7221227
103,3907,30,Tandridge Crescent 1,5,23,,12,0,12,1965,Towns & Wkups,Townhouse Back to Back Multifam.,2,2 - Storey Townhouse Back to Back Multifam,301031.892,4843104.35,-79.54658,43.72989
104,3908,30,Tandridge Crescent 1,5,23,,8,0,8,1965,Towns & Wkups,Townhouse Back to Back Multifam.,2,2 - Storey Townhouse Back to Back Multifam,301031.892,4843104.35,-79.54658,43.72989
108,3912,30,Tandridge Crescent 1,5,23,,10,0,10,1965,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,301124.752,4842974.797,-79.545427,43.7287243
109,3913,30,Tandridge Crescent 1,5,23,,12,0,12,1965,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,301124.752,4842974.797,-79.545427,43.7287243
110,3914,30,Tandridge Crescent 1,5,23,,7,0,7,1965,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,301124.752,4842974.797,-79.545427,43.7287243
112,3916,30,Tandridge Crescent 1,5,23,,12,0,12,1965,Towns & Wkups,Townhouse Back to Back Multifam.,2,2 - Storey Townhouse Back to Back Multifam,301124.752,4842974.797,-79.545427,43.7287243
1461,5637,116,Downsview Acres,26,31,M3M 1A3,294,3,291,1966,High Rise,High Rise Apt. Bldg.Elevator,13,13 - Storey High Rise Apt. Bldg.,304145.58,4842250.448,-79.50793,43.7222134
1467,3650,17,Jane St. (2265),26,31,M3M 1A6,41,0,41,1963,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,304018.129,4842856.285,-79.509513,43.7276669
1471,5566,199,Roding Park Place,26,31,M3M 3G4,124,38,86,1993,High Rise,High Rise Apt. Bldg.Elevator,8,8 - Storey High Rise Apt. Bldg.,305280.424,4842482.587,-79.493841,43.7242947
546,4360,37,Dixington Crescent,6,23,M9P 2K4,7,0,7,1965,Towns & Wkups,Townhouse Centre Hall  Multifam.,2,2 - Storey Townhouse Centre Hall Multifam,301464.583,4839490.981,-79.541186,43.6973661
1463,3641,84,Jane Falstaff,28,31,M6L 2C9,221,0,221,1970,High Rise,High Rise Apt. Bldg.Elevator,19,19 - Storey High Rise Apt. Bldg.,304363.605,4841606.944,-79.505223,43.7164211
822,4057,33,Blake Boultbee,69,55,M4J 1A5,15,0,15,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,317760.323,4836733.25,-79.339085,43.6724396
1044,4073,91,Don Summerville,65,55,M4L 1E7,60,0,60,1969,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,319453.024,4836005.915,-79.318113,43.6658616
2166,3182,85,Regent Park (North),72,51,M5A 2G6,71,0,71,1948,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,315631.421,4835581.889,-79.365509,43.6621098
2183,3073,201,Regent Park (South),72,51,M5A 3M5,95,0,95,1957,High Rise,High Rise Apt. Bldg.Elevator,13,13 - Storey High Rise Apt. Bldg.,316066.105,4835226.443,-79.360123,43.6588953
1313,4835,336,South St. Jamestown 2,71,51,M4X 1G9,10,0,10,1880,Houses,House Semi-Detached Multiplex,2,2 - Storey Semi-detached House - Multiplex,315219.538,4836214.032,-79.370603,43.6678058
1026,4865,380,Trefann Court,72,51,M5A 1T7,18,11,7,1979,Towns & Wkups,Stacked Townhouse,3,3 - Storey Stacked Townhouse,315986.523,4834964.607,-79.361119,43.6565482
1261,3902,66,Bleecker Street 1,74,51,M4X 1M1,301,0,301,1969,High Rise,High Rise Apt. Bldg.Elevator,21,21 - Storey High Rise Apt. Bldg.,314969.275,4836328.077,-79.373705,43.6688359
2214,81637,494,Randolph Ave. (11),93,11,M6P 4G3,95,36,59,1994,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,308800.29,4835150.998,-79.450211,43.6582989
0,4046,32,Atkinson Co-operative,78,14,M5T 2K9,10,0,10,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312854.605,4834179.432,-79.399959,43.6495217
2009,90125,173,Cooper Mills Townhomes,114,11,M6S 4W6,12,6,6,1981,Towns & Wkups,Stacked Townhouse Multifam.,2,2 - Storey Stacked Townhouse,304559.046,4835885.092,-79.502792,43.6649168
